141,PSMA2,antigen present,,filtered out
142,PSMA3,antigen present,,filtered out
143,PSMA4,antigen present,,filtered out
144,PSMA5,antigen present,,filtered out
145,PSMA6,antigen present,,filtered out
146,PSMA7,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
147,PSMA8,antigen present,,filtered out
148,PSMB1,antigen present,,filtered out
149,PSMB10,antigen present,,filtered out
150,PSMB11,antigen present,,filtered out
151,PSMB2,antigen present,,filtered out
152,PSMB3,antigen present,,filtered out
153,PSMB4,antigen present,,filtered out
154,PSMB5,antigen present,,filtered out
155,PSMB6,antigen present,,filtered out
156,PSMB7,antigen present,,filtered out
157,PSMB8,antigen present,,filtered out
158,PSMB9,antigen present,,filtered out
159,PSMC1,antigen present,,filtered out
160,PSMC2,antigen present,,filtered out
161,PSMC3,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
162,PSMC4,antigen present,,filtered out
163,PSMC5,antigen present,,filtered out
164,PSMC6,antigen present,,filtered out
165,PSMD1,antigen present,,filtered out
166,PSMD10,antigen present,,filtered out
167,PSMD11,antigen present,,filtered out
168,PSMD12,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
169,PSMD13,antigen present,,filtered out
170,PSMD14,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
171,PSMD2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
172,PSMD3,antigen present,,filtered out
173,PSMD4,antigen present,,filtered out
174,PSMD5,antigen present,,filtered out
175,PSMD6,antigen present,,filtered out
176,PSMD7,antigen present,,filtered out
177,PSMD8,antigen present,,filtered out
178,PSMD9,antigen present,,filtered out
179,PSME1,antigen present,,filtered out
180,PSME2,antigen present,,filtered out
181,PSME3,antigen present,,filtered out
182,PSME4,antigen present,,filtered out
183,PSMF1,antigen present,,filtered out
184,PYCARD,antigen present,,filtered out
185,RAB10,antigen present,,filtered out
186,RAB27A,antigen present,,filtered out
187,RAB32,antigen present,,filtered out
188,RAB33A,antigen present,,filtered out
189,RAB34,antigen present,,filtered out
190,RAB35,antigen present,,filtered out
191,RAB3B,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
192,RAB3C,antigen present,,filtered out
193,RAB4A,antigen present,,filtered out
194,RAB5B,antigen present,,filtered out
195,RAB6A,antigen present,,filtered out
196,RAB7A,antigen present,,filtered out
197,RAB8B,antigen present,,filtered out
198,RACGAP1,antigen present,,filtered out
199,RELB,antigen present,,filtered out
200,RFTN1,antigen present,,filtered out
201,RILP,antigen present,,filtered out
202,SAR1B,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
203,SEC13,antigen present,,filtered out
204,SEC22B,antigen present,,filtered out
205,SEC23A,antigen present,,filtered out
206,SEC24A,antigen present,,filtered out
207,SEC24B,antigen present,,filtered out
208,SEC24C,antigen present,,filtered out
209,SEC24D,antigen present,,filtered out
210,SEC31A,antigen present,,filtered out
211,SH3GL2,antigen present,,filtered out
212,SLC11A1,antigen present,,filtered out
213,SNAP23,antigen present,,filtered out
214,SPTBN2,antigen present,,filtered out
215,TAP1,immunomodulators,Module3_IFN_score,filtered out
216,TAP2,antigen present,,filtered out
217,TAPBP,antigen present,,filtered out
218,TAPBPL,antigen present,,filtered out
219,THBS1,immunomodulators,TGFB_score_21050467,filtered out
220,TRAF6,antigen present,,filtered out
221,TREM2,antigen present,,filtered out
222,TREX1,antigen present,,filtered out
223,VAMP3,antigen present,,filtered out
224,VAMP8,antigen present,,filtered out
225,WAS,antigen present,,filtered out
226,YTHDF1,antigen present,,filtered out
227,MARCH1,antigen present,,filtered out
228,FGR,immunomodulators,CSF1_response,filtered out
229,SEMA3F,immunomodulators,TGFB_score_21050467,filtered out
230,DBNDD1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
231,SLC25A5,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
232,WDR54,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
233,ITGA3,immunomodulators,TGFB_score_21050467,filtered out
234,TNFRSF12A,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
235,CD79B,immunomodulators,LIexpression_score,filtered out
236,VTA1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
237,BTK,immunomodulators,CSF1_response,filtered out
238,PLAUR,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
239,MNAT1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
240,RUNX3,immunomodulators,CSF1_response,filtered out
241,CD44,immunomodulators,TGFB_score_21050467,filtered out
242,TNFRSF1B,immunomodulators,CSF1_response,filtered out
243,VCAN,immunomodulators,TGFB_score_21050467,filtered out
244,TNC,immunomodulators,TGFB_score_21050467,filtered out
245,LCP2,immunomodulators,CSF1_response,filtered out
246,CTNNA1,immunomodulators,TGFB_score_21050467,filtered out
247,NOP16,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
248,CELF2,immunomodulators,CSF1_response,filtered out
249,MRTO4,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
250,DCBLD2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
251,TBXAS1,immunomodulators,CSF1_response,filtered out
252,CD84,cell type,CSF1_response,filtered out
253,LRRC40,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
254,PFKP,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
255,NEO1,immunomodulators,TGFB_score_21050467,filtered out
256,TNFRSF1A,immunomodulators,TGFB_score_21050467,filtered out
257,RHOA,immunomodulators,TGFB_score_21050467,filtered out
258,OSBPL3,immunomodulators,CSF1_response,filtered out
259,ENO1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
260,WNT8B,immunomodulators,TGFB_score_21050467,filtered out
261,SLC25A40,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
262,ARHGAP15,immunomodulators,CSF1_response,filtered out
263,SNRPA,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
264,SLC1A3,immunomodulators,CSF1_response,filtered out
265,SP140,immunomodulators,CSF1_response,filtered out
266,SAR1A,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
267,PTPRC,cell type,CSF1_response,filtered out
268,HSPB11,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
269,FYB,immunomodulators,CSF1_response,filtered out
270,COL16A1,immunomodulators,TGFB_score_21050467,filtered out
271,CD59,immunomodulators,TGFB_score_21050467,filtered out
272,EIF2AK1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
273,MMP2,immunomodulators,TGFB_score_21050467,filtered out
274,MT3,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
275,OAS1,immunomodulators,Module3_IFN_score,filtered out
276,PXN,immunomodulators,TGFB_score_21050467,filtered out
277,LYZ,immunomodulators,CSF1_response,filtered out
278,LAMB1,immunomodulators,TGFB_score_21050467,filtered out
279,ITGA6,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
280,EZR,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
281,MYL6,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
282,MFSD11,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
283,CECR1,immunomodulators,CSF1_response,filtered out
284,DSP,immunomodulators,TGFB_score_21050467,filtered out
285,MMP11,immunomodulators,TGFB_score_21050467,filtered out
286,POLE2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
287,MTHFD1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
288,PNN,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
289,MYBL2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
290,RASSF2,immunomodulators,CSF1_response,filtered out
291,HCK,immunomodulators,CSF1_response,filtered out
292,SAMHD1,immunomodulators,CSF1_response,filtered out
293,MAPRE1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
294,SMS,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
295,TIMP1,immunomodulators,TGFB_score_21050467,filtered out
296,FGD1,immunomodulators,TGFB_score_21050467,filtered out
297,TNFSF13B,immunomodulators,CSF1_response,filtered out
298,CORO1A,immunomodulators,CSF1_response,filtered out
299,NUTF2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
300,NUP93,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
301,CMC2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
302,COTL1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
303,PLAT,immunomodulators,TGFB_score_21050467,filtered out
304,CD37,immunomodulators,LIexpression_score,filtered out
305,CD79A,immunomodulators,LIexpression_score,filtered out
306,CD33,immunomodulators,CSF1_response,filtered out
307,PIK3CG,immunomodulators,CSF1_response,filtered out
