IP component,BRCA V(G)/Vp,BRCA Pval,BRCA fdr,BRCA n,BRCA nonhla V(G)/Vp,BRCA nonhla Pval,BRCA nonhla fdr,BRCA hla V(G)/Vp,BRCA hla Pval,BRCA hla fdr
PSMB10,0.291462,0.1657501,0.487005493,790,0.251383,0.2014601,0.35012738,0.033494,0.0675081,0.5000001
NCF1,0.423733,0.1629201,0.487005493,790,0.372915,0.1933301,0.341736589,0.013871,0.2255001,0.5000001
EIF2AK1,0.307901,0.1681801,0.489423227,790,0.250348,0.2205801,0.356590823,0.049042,0.0240451,0.309246703
DNM2,0.381974,0.1682601,0.489423227,790,0.227081,0.2855401,0.384317053,0.049221,0.0103321,0.222705105
SEC24C,0.294384,0.1708001,0.492793048,790,0.278087,0.1851301,0.337577428,0.016373,0.2383101,0.5000001
CORO1A,0.365377,0.1720701,0.492793048,790,0.302185,0.2197601,0.356590823,0.030722,0.0782211,0.5000001
LSM3,0.338726,0.1727801,0.492793048,790,0.372644,0.1520301,0.309057579,1.00E-06,0.5000001,0.5000001
CTSV,0.269756,0.1702801,0.492793048,790,0.30312,0.1473201,0.30743638,1.00E-06,0.5000001,0.5000001
COL6A3,0.323188,0.1724701,0.492793048,790,0.359677,0.1504401,0.308858081,1.00E-06,0.5000001,0.5000001
SRM,0.245512,0.1740501,0.493912098,790,0.249835,0.1722901,0.324269578,0.00172,0.4643301,0.5000001
RPN1,0.446528,0.1745201,0.493912098,790,0.497516,0.1474101,0.30743638,1.00E-06,0.5000001,0.5000001
ARHGDIA,0.307214,0.1759001,0.495902974,790,0.293312,0.1854401,0.337577428,0.010507,0.3241201,0.5000001
HMHA1,0.300571,0.1805001,0.5000001,790,0.234318,0.2379301,0.366446964,0.045742,0.0264271,0.330695873
AP2B1,0.174139,0.2699101,0.5000001,790,0.239204,0.2102801,0.35012738,1.00E-06,0.5000001,0.5000001
APOO,1.00E-06,0.5000001,0.5000001,790,,,,,,
PAK1,0.361012,0.1982601,0.5000001,790,0.3034,0.2374101,0.366446964,0.022801,0.1584201,0.5000001
TGFBR2,1.00E-06,0.5000001,0.5000001,790,,,,,,
FGL2,1.00E-06,0.5000001,0.5000001,790,,,,,,
TAPBPL,0.186103,0.3012201,0.5000001,790,0.192503,0.2983101,0.384728625,0.000694,0.4859001,0.5000001
APITD1,1.00E-06,0.5000001,0.5000001,790,,,,,,
FLNC,1.00E-06,0.5000001,0.5000001,790,,,,,,
GZMA,1.00E-06,0.5000001,0.5000001,790,,,,,,
RHOG,0.211383,0.2730501,0.5000001,790,0.159793,0.3221401,0.390963123,0.025416,0.1150501,0.5000001
PSMB8,1.00E-06,0.5000001,0.5000001,790,,,,,,
ITGB5,1.00E-06,0.5000001,0.5000001,790,,,,,,
KIF22,0.065338,0.4307901,0.5000001,790,0.045211,0.4519901,0.462989859,0.008759,0.3377801,0.5000001
MAGOHB,0.065615,0.4449601,0.5000001,790,0.064809,0.4453101,0.458174614,0.000194,0.4968101,0.5000001
KIF23,0.071572,0.4323201,0.5000001,790,0.003514,0.4966401,0.5000001,0.020481,0.1610001,0.5000001
Proliferation,0.260174,0.2799501,0.5000001,777,0.190854,0.3345201,0.393949661,0.015783,0.1999401,0.5000001
SDC1,0.217298,0.2929001,0.5000001,790,0.338146,0.2071301,0.35012738,1.00E-06,0.5000001,0.5000001
IDO1,1.00E-06,0.5000001,0.5000001,790,,,,,,
SEC22B,1.00E-06,0.5000001,0.5000001,790,,,,,,
LAG3,1.00E-06,0.5000001,0.5000001,790,,,,,,
ACE,1.00E-06,0.5000001,0.5000001,790,,,,,,
SELL,1.00E-06,0.5000001,0.5000001,790,,,,,,
DYNLL1,0.30385,0.2302201,0.5000001,790,0.26815,0.2598501,0.373816178,0.009017,0.2835901,0.5000001
PTGER4,1.00E-06,0.5000001,0.5000001,790,,,,,,
EPHB2,0.15204,0.3326401,0.5000001,790,0.214497,0.2740801,0.377118446,1.00E-06,0.5000001,0.5000001
BLK,1.00E-06,0.5000001,0.5000001,790,,,,,,
SP140,0.061521,0.4438401,0.5000001,790,0.107187,0.4039201,0.435932416,1.00E-06,0.5000001,0.5000001
MS4A4A,0.171266,0.2695701,0.5000001,790,0.174816,0.2674001,0.374120925,0.000765,0.4858601,0.5000001
PSME3,0.074156,0.4197001,0.5000001,790,0.084401,0.4103601,0.439807237,1.00E-06,0.5000001,0.5000001
CD1D,0.077775,0.3835201,0.5000001,790,0.083118,0.3776701,0.414363167,1.00E-06,0.5000001,0.5000001
EP300,0.142199,0.3152201,0.5000001,790,0.118324,0.3427501,0.396309642,0.026585,0.1619701,0.5000001
TUBG1,0.076322,0.4349001,0.5000001,790,0.069566,0.4408301,0.455590036,0.003969,0.4426101,0.5000001
ACTR1A,0.327001,0.2368201,0.5000001,790,0.351358,0.2170701,0.355135888,1.00E-06,0.5000001,0.5000001
H2AFZ,1.00E-06,0.5000001,0.5000001,790,,,,,,
PHF19,0.265386,0.2258801,0.5000001,790,0.177395,0.3046301,0.38740599,0.05668,0.0163541,0.26584071
RFC3,1.00E-06,0.5000001,0.5000001,790,,,,,,
PSMB1,0.21621,0.3209901,0.5000001,790,0.19815,0.3337601,0.393949661,0.010045,0.3699301,0.5000001
TNFRSF4,0.227789,0.2361701,0.5000001,790,0.170384,0.2930701,0.384564792,0.049571,0.0287061,0.331622056
FGR,0.001475,0.4978401,0.5000001,790,,,,,,
TRA2B,1.00E-06,0.5000001,0.5000001,790,,,,,,
BTLA,1.00E-06,0.5000001,0.5000001,790,,,,,,
RAB4A,0.13618,0.3355701,0.5000001,790,0.146662,0.3269301,0.39192304,1.00E-06,0.5000001,0.5000001
RBM14,0.261292,0.2345101,0.5000001,790,0.238655,0.2540801,0.373816178,0.014507,0.2638201,0.5000001
RNASE6,1.00E-06,0.5000001,0.5000001,790,,,,,,
TNFRSF18,1.00E-06,0.5000001,0.5000001,790,,,,,,
TPM1,1.00E-06,0.5000001,0.5000001,790,,,,,,
MCTS1,1.00E-06,0.5000001,0.5000001,790,,,,,,
ADGRE5,0.211237,0.3464701,0.5000001,790,0.185497,0.3671601,0.413613446,0.012909,0.3193501,0.5000001
XCL1,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD3G,1.00E-06,0.5000001,0.5000001,790,,,,,,
PXN,1.00E-06,0.5000001,0.5000001,790,,,,,,
HAS2,1.00E-06,0.5000001,0.5000001,790,,,,,,
DCTN1,1.00E-06,0.5000001,0.5000001,790,,,,,,
EPHB4,0.023502,0.4740301,0.5000001,790,,,,,,
CCR7,0.138245,0.3082201,0.5000001,790,0.172101,0.2719401,0.377118446,1.00E-06,0.5000001,0.5000001
AIMP2,1.00E-06,0.5000001,0.5000001,790,,,,,,
CPVL,1.00E-06,0.4999501,0.5000001,790,,,,,,
ICAM1,0.291017,0.2396501,0.5000001,790,0.264198,0.2601501,0.373816178,0.010942,0.3026301,0.5000001
IKZF1,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD53,1.00E-06,0.5000001,0.5000001,790,,,,,,
EBNA1BP2,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD37,1.00E-06,0.5000001,0.5000001,790,,,,,,
